  Cps/Mbq 161.763   65.991         
  2 b01   b02 b03 b04 b05   b10 b11 b12 b13
 241 482 1.993  241 0.00169 0.9803 0.7802 0  241 0 0.1942 0.0364 0
 242 484 1.796  242 0.00168 0.9851 0.6501 0  242 0.0005756 0.1403 0.01797 0
 243 486 2.388  243 0.001474 1.341 0.883 0  243 0 0.1191 0.04332 0
 244 488 2.543  244 0.002699 1.373 0.9087 0  244 0.0002265 0.2342 0.02345 0
 245 490 2.613  245 0.001856 1.683 0.7448 0  245 0.0005265 0.1674 0.0155 0
 246 492 2.879  246 0.002665 1.853 0.8538 0  246 0 0.1368 0.03327 0
 247 494 3.026  247 0.001876 2.049 0.8124 0  247 0 0.1382 0.02449 0
 248 496 3.367  248 0.005524 2.294 0.8922 0  248 0 0.1496 0.02655 0
 249 498 3.534  249 0.002577 2.453 0.9143 0  249 0.0006577 0.1631 0.0001238 0
 250 500 3.817  250 0.003647 2.739 0.8969 0  250 0.000004536 0.141 0.03604 0
 251 502 4.354  251 0.008223 3.274 0.8739 0  251 0.0003817 0.1825 0.015 0
 252 504 4.898  252 0.004446 3.79 0.9422 0  252 0 0.1178 0.04347 0
 253 506 5.25  253 0.004558 4.069 0.982 0  253 0.00007667 0.1844 0.01042 0
 254 508 5.23  254 0.01081 4.152 0.9163 0  254 0.000367 0.1453 0.005227 0
 255 510 6.139  255 0.006488 5.075 0.9394 0  255 0.00001785 0.1083 0.009011 0
 256 512 6.084  256 0.007434 4.793 1.145 0  256 0.00002733 0.1263 0.01245 0
 257 514 6.57  257 0.01006 5.587 0.8678 0  257 0.0008457 0.09943 0.005259 0
 258 516 7.355  258 0.006864 6.195 1.072 0  258 0 0.06596 0.01517 0
 259 518 7.112  259 0.009348 5.998 0.9968 0  259 0 0.09614 0.01229 0
 260 520 7.407  260 0.01002 6.199 1.106 0  260 0 0.07728 0.01462 0
 261 522 7.546  261 0.0107 6.591 0.8822 0  261 0.0004437 0.06033 0.0007167 0
 262 524 7.846  262 0.007486 6.966 0.8057 0  262 0.0006619 0.03713 0.02881 0
 263 526 7.659  263 0.01127 6.589 0.9906 0  263 0 0.0678 0 0
 264 528 7.518  264 0.01219 6.464 0.9388 0  264 0.00007895 0.09709 0.006629 0
 265 530 7.726  265 0.008052 6.729 0.9079 0  265 0 0.06571 0.01454 0
 266 532 8.043  266 0.01077 7.129 0.8344 0  266 0 0.0538 0.01486 0
 267 534 8.093  267 0.009261 7.113 0.8896 0  267 0 0.06165 0.02042 0
 268 536 7.291  268 0.006606 6.447 0.7915 0  268 0 0.03676 0.008889 0
 269 538 7.071  269 0.009092 6.372 0.6503 0  269 0 0.03912 0 0
 270 540 6.965  270 0.008683 6.194 0.6795 0  270 0.00005573 0.06717 0.01579 0
 271 542 6.162  271 0.01043 5.35 0.757 0  271 0.000225 0.04372 0 0
 272 544 6.281  272 0.008686 5.517 0.6891 0  272 0 0.05842 0.007603 0
 273 546 5.512  273 0.00732 4.822 0.5984 0  273 0 0.06592 0.0181 0
 274 548 5.03  274 0.009515 4.391 0.5754 0  274 0 0.05336 0 0
 275 550 4.754  275 0.00668 4.2 0.4612 0  275 0 0.07285 0.01311 0
 276 552 4.15  276 0.006028 3.612 0.5033 0  276 0 0.02361 0.005253 0
 277 554 3.633  277 0.004563 3.194 0.4008 0  277 0 0.03353 0 0
 278 556 3.252  278 0.005129 2.888 0.3242 0  278 0.00008899 0.0275 0.007035 0
 279 558 2.552  279 0.003573 2.313 0.2198 0  279 0 0.007868 0.008104 0
 280 560 2.267  280 0.003912 1.938 0.2828 0  280 0 0.03469 0.007784 0
 281 562 2.321  281 0.002776 2.025 0.2542 0  281 0 0.03069 0.009093 0
